title,genres,overview,vote_average,release_date,popularity,keywords,backdrop_path,homepage
Blue Beetle,"Action, Science Fiction, Adventure","Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.",7.139,16-08-2023,2994.357,"armor, superhero, family relationships, family, high tech, job hunting, mexican american, aftercreditsstinger, duringcreditsstinger, immigrant family, college graduate, dc extended universe (dceu), alien technology, brother sister relationship, latino",/1syW9SNna38rSl9fnXwc9fP7POW.jpg,https://www.dc.com/bluebeetle
Gran Turismo,"Action, Drama, Adventure",The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,8.068,09-08-2023,2680.593,"based on true story, racing, based on video game, duringcreditsstinger, exhilarated, joyful",/xFYpUmB01nswPgbzi8EOCT1ZYFu.jpg,https://www.granturismo.movie
A Female Boss with Big Tits and Her Cherry Boy Colleague Stay in the Same Room on a Business Trip - She Seduces Him for Fun and Makes Him Cum 10 Times - Yua Mikami,Drama,"Yuzuru is this clumsy permavirgin employee who has Yua Mikami as a female boss, a successful and young married lady full of confidence and beauty, way out of his league. She, however, is so kind to him that the virgin guy develops a big crush on Yua.  One day they have to go on a business trip together, and he was in charge of arranging the accommodations. But instead of securing 2 rooms, he could only book just 1.  They decide to go out drinking instead until the morning comes. However, she gets smashed drunk and they returned to the room together…",9,16-01-2020,2020.286,"cheating, office, big tits, unfaithful wife",/mWFn8XFCPOuv0vqVjekPscWSSGZ.jpg,
The Nun II,"Horror, Mystery, Thriller","In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.",6.545,06-09-2023,1692.778,"france, bullying, sequel, religion, demon, gothic horror, demonic possession, praying, duringcreditsstinger, 1950s, demonic, girls' school, convent, the conjuring universe",/53z2fXEKfnNg2uSOPss2unPBGX1.jpg,https://www.warnerbros.com/movies/nun2
Meg 2: The Trench,"Action, Science Fiction, Horror",An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,6.912,02-08-2023,1567.273,"based on novel or book, sequel, shark, kaiju, civil action, oceans, shark cage",/5mzr6JZbrqnqD8rCEvPhuCE5Fw2.jpg,https://www.themeg.movie
Retribution,"Action, Mystery, Thriller, Crime","When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks. With his kids trapped in the back seat and a bomb that will explode if they get out of the car, a normal commute becomes a twisted game of life or death as Matt follows the stranger's increasingly dangerous instructions in a race against time to save his family.",6.816,23-08-2023,1547.22,"assassination, bomb, remake, divorce, duringcreditsstinger, phone call, berlin",/iiXliCeykkzmJ0Eg9RYJ7F2CWSz.jpg,https://iiil.io/jCT7
Talk to Me,"Horror, Thriller","When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",7.214,26-07-2023,1458.514,"suicide, trauma, possession, female friendship, addiction, grief, female protagonist, death of mother, self mutilation, mental health, dead parent, social media, peer pressure, disembodied hand, generation z, self-harm, supernatural horror, cautionary tale, adelaide australia, body horror, graphic violence, teenager, modern australia",/iIvQnZyzgx9TkbrOgcXx0p7aLiq.jpg,https://umbrellaent.com.au/movie/talk-to-me
Fast X,"Action, Crime, Thriller","Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",7.265,17-05-2023,1175.267,"sequel, revenge, betrayal, racing, family, cliffhanger, cars",/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,https://fastxmovie.com
Sound of Freedom,"Action, Drama","The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",7.973,03-07-2023,1111.036,"kidnapping, human trafficking, based on true story, child kidnapping, lost children, children in danger, colombia",/eMPxmNvJjxVZIQWI2t1VmNC5IuR.jpg,https://www.soundoffreedommovie.com/
Barbie,"Comedy, Adventure, Fantasy","Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",7.279,19-07-2023,1069.34,"feminism, satire, patriarchy, based on toy, female protagonist, doll, submissive, fantasy world, motherhood, existentialism, woman director, mother daughter relationship, gender discrimination, barbie, secret world",/ctMserH8g2SeOAnCw5gFjdQF8mo.jpg,https://www.barbie-themovie.com
Elemental,"Animation, Comedy, Family, Fantasy, Romance","In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",7.757,14-06-2023,1008.942,"fire, computer animation, duringcreditsstinger, elements, water, city, hopeful",/4fLZUr1e65hKPPVw0R3PmKFKxj1.jpg,https://movies.disney.com/elemental
Operation Napoleon,Thriller,"A modern-day lawyer is sucked into an international conspiracy after being accused of a murder she didn't commit. Her only chance of freedom lies in uncovering the secret of an old German WWII aeroplane, long buried deep beneath the ice, before the CIA.",7.04,26-01-2023,982.611,based on novel or book,/oghHR3X0hIcvs7xqyoFjA0GAZWn.jpg,
No One Will Save You,"Horror, Science Fiction, Thriller",An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.,6.897,22-09-2023,961.212,"isolation, trauma, grief, female protagonist, home invasion, guilt, death of mother, alien attack, reclusive, aliens",/zYlgqIpqJ1VAbvFhRhktAzIybVs.jpg,https://www.20thcenturystudios.com/movies/no-one-will-save-you
Saw X,"Crime, Horror, Thriller","Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.",7.321,26-09-2023,949.967,"mexico city, mexico, sadism, riddle, gore, sequel, con artist, cancer, scam, serial killer, torture, drugs, survival horror, duringcreditsstinger, franchise, jigsaw, méxico, saw, death game, requel",/9b3uxqcjkmay20EBZZj1KVow0r5.jpg,https://www.saw.movie
Carl's Date,"Animation, Adventure, Family","Carl Fredricksen reluctantly agrees to go on a date with a lady friend—but admittedly has no idea how dating works these days. Ever the helpful friend, Dug steps in to calm Carl's pre-date jitters and offer some tried-and-true tips for making friends—if you're a dog.",7.831,15-06-2023,819.429,"date, love, dog, short film",/iOJX54nVAsnPawagFiWXKv1Y6sB.jpg,
The Black Book,"Mystery, Thriller, Action","After his son is wrongly accused of kidnapping, a deacon who has just lost his wife takes matters into his own hands and fights a crooked police gang to clear him.",7.667,22-09-2023,810.288,"revenge thriller, nollywood",/9WxqnP9c29wXd03sALSpxpTx8fk.jpg,https://www.netflix.com/title/81698992
Incest Mother Sister W Azumi Kinoshita Okita Anzunashi,Drama,"A miraculous collaboration between a rare female body painter ""Izayoi Seishin"" and two exclusive actresses with a rare exquisite BODY! ! Her mother is a ""flower arrangement artist"" who has black hair and a bewitching sex appeal. Her older sister is a good-looking model who works exclusively for fashion magazines. The common point of such mothers and sisters is ... a transcendental beauty busty body that everyone envy! ! Due to my father's remarriage, I decided to live with her mother and sister-in-law.",8,01-08-2014,803.324,"incest, big tits",/k1NDwgPPtmYWtQaeaobRW6kJcqS.jpg,
Let Her Kill You,"Thriller, Mystery","Alone in the mountains of Switzerland, Anne discovers that her isolated chalet is on surveillance and has been bugged. Caught up by her former life as an intelligence secret agent and an affair with her handler, Anne can only count on herself to get out alive.",6.917,08-03-2023,780.608,,/5xUJBgds96m6Xi2EtUpSzbw24D7.jpg,
Class Reunion Cuckolding - My Beloved Wife And Her Asshole Ex-Boyfriend Reignite Their Old Flame - Yua Mikami,Drama,"SSNI-542: ""It's okay, I love you ..."" Saying that, my beloved wife headed to the alumni association, and a video of a cuckold man who was a crap human Yarichin ex-boyfriend! Kissing, caressing and SEX are good ... the worst man who knows everything ... A body that instinctively seeks even if it knows that it is useless. ""Isn't it more comfortable than my husband's cock?"" An unfaithful wife who feels intensely with her husband who is too kind and the target violent caress. Pleasure purgatory where the body and mind have fallen and cannot return anymore. Unequaled Yarichin Man x Big Tits Married Woman Netorare Affair 4 Production!",7,19-08-2019,759.744,"cheating, big tits",/pyaLWOPmDcKaj0U2cTni9uwlO8a.jpg,
Kandahar,"Action, Thriller","After his mission is exposed, an undercover CIA operative stuck deep in hostile territory in Afghanistan must fight his way out, alongside his Afghan translator, to an extraction point in Kandahar, all whilst avoiding elite enemy forces and foreign spies tasked with hunting them down.",6.866,25-05-2023,708.536,"cia, undercover agent, behind enemy lines",/c6Splshb8lb2Q9OvUfhpqXl7uP0.jpg,https://www.openroadfilms.com/movies/kandahar
Mondocane,"Action, Crime, Science Fiction, Drama","In the near future, the southern Italian city of Taranto is surrounded by barbed wire that no one, not even the police, dares to cross. The poorest are left fighting for survival, while gangs compete for the territory. Two thirteen-year-old orphans who grew up together, dream of joining one of the gangs.",6.43,03-09-2021,640.979,"gang leader, survival, gang, criminal gang, poor",/uAAAzo9efEZJJPtj4iNwFvrRaki.jpg,
Transformers: Rise of the Beasts,"Action, Adventure, Science Fiction","When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",7.492,06-06-2023,616.74,"peru, alien, end of the world, based on toy, robot, duringcreditsstinger, 1990s, brother brother relationship, transformers",/2vFuG6bWGyQUzYS9d69E5l85nIz.jpg,https://www.transformersmovie.com
Spy Kids: Armageddon,"Family, Comedy, Action, Adventure","When the children of the world’s greatest secret agents unwittingly help a powerful game developer unleash a computer virus that gives him control of all technology, they must become spies themselves to save their parents and the world.",6.588,22-09-2023,613.403,"video game, technology, spy, games, secret agent, game, virus, game developer, heroes, kids, fantasy, save the world",/6fKEw0I2FTD5FLOQ5q7L1tqf876.jpg,https://www.netflix.com/title/81588091
Indiana Jones and the Dial of Destiny,"Adventure, Action","Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",6.679,28-06-2023,579.252,"treasure hunt, ancient rome, sequel, flashback, knife fight, archaeologist, adventurer, 1960s, nazi germany, action adventure, suspenseful",/35z8hWuzfFUZQaYog8E9LsXW3iI.jpg,https://movies.disney.com/indiana-jones-and-the-dial-of-destiny
Til Death Do Us Part,"Horror, Thriller, Action","After bailing on her wedding, a former bride-to-be must fight off her ex-groom and seven angry killer groomsmen in order to survive the night.",6.2,03-08-2023,548.12,,/ffQAbMDcME2IFmdnzCrbDjEupM.jpg,
Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",8.442,31-05-2023,512.336,"new york city, sacrifice, superhero, comic book, based on comic, sequel, romance, alternate dimension, india, alternate version, super power, brooklyn, new york city, superhero team, spider bite, super villain, cliffhanger, teen superhero, chelsea, alternate universe, teen romance, female superhero, slow burn romance, interdimensional travel, defying fate",/4HodYYKEIsGOdinkGi2Ucz6X9i0.jpg,https://www.acrossthespiderverse.movie
The Creator,"Science Fiction, Action, Thriller","Amid a future war between the human race and the forces of artificial intelligence, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war—and mankind itself.",7.5,27-09-2023,496.806,"artificial intelligence (a.i.), asia, distant future, space station, child, ex special forces, missing wife, robots, war against machines, ai",/iQcCAm8hKWZyUntqrvzyEGtXyJl.jpg,https://www.20thcenturystudios.com/movies/the-creator
Teenage Mutant Ninja Turtles: Mutant Mayhem,"Animation, Comedy, Action","After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.",7.328,31-07-2023,484.876,"new york city, sibling relationship, skateboarding, crime fighter, superhero, turtle, ninja, nostalgic, duringcreditsstinger, teenage mutant ninja turtles, aspiring journalist, anthropomorphic animal, excited, exhilarated",/w2nFc2Rsm93PDkvjY4LTn17ePO0.jpg,https://www.teenagemutantninjaturtlesmovie.com
Expend4bles,"Action, Adventure, Thriller","Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.",6.685,15-09-2023,484.627,"sequel, nuclear bomb, cargo ship, ring",/rMvPXy8PUjj1o8o1pzgQbdNCsvj.jpg,https://expendables.movie/
John Wick: Chapter 4,"Action, Thriller, Crime","With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",7.814,22-03-2023,482.538,"new york city, martial arts, hitman, sequel, organized crime, osaka, japan, blindness, aftercreditsstinger, hunted, consequences, professional assassin, neo-noir, berlin, suspenseful, intense",/i3OTGmLNOZIo4SRQLVfLjeWegB6.jpg,https://johnwick.movie
The Flash,"Action, Adventure, Science Fiction","When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",6.898,13-06-2023,480.393,"hero, secret identity, superhero, based on comic, superhuman, super power, aftercreditsstinger, butterfly effect, dc extended universe (dceu), superhuman abilities, loss of mother, absurd",/yF1eOkaYvwiORauRCPWznV9xVvi.jpg,https://www.dc.com/theflash
After Everything,"Romance, Drama","Besieged by writer’s block and the crushing breakup with Tessa, Hardin travels to Portugal in search of a woman he wronged in the past – and to find himself. Hoping to win back Tessa, he realizes he needs to change his ways before he can make the ultimate commitment.",6.768,13-09-2023,474.472,"lisbon, portugal, writer's block, sequel, love, wedding, social media, troubled past, dysfunctional relationship, based on young adult novel, fanfic",/jkKVLzLWjSvTnc84VzeljhSy6j8.jpg,
Oppenheimer,"Drama, History",The story of J. Robert Oppenheimer’s role in the development of the atomic bomb during World War II.,8.256,19-07-2023,463.384,"husband wife relationship, based on novel or book, atomic bomb, patriotism, new mexico, world war ii, atomic bomb test, physics, biography, based on true story, interrogation, guilt, historical event, nuclear weapons, communism, red scare, mccarthyism, top secret project, moral dilemma, usa politics, 1940s, antisemitism, 20th century, manhattan project, los alamos",/fm6KqXpk3M2HVveHwCrBSSBaO0V.jpg,http://www.oppenheimermovie.com
Freestyle,"Crime, Action, Thriller","Trying to check out a recording from his debut album, a street rapper and his friend run into trouble when a major drug deal turns into a total disaster for them.",6.736,13-09-2023,444.5,drug trafficking,/xsnpgM2Si1hG7daLP1XE7uAfKKH.jpg,http://www.netflix.com/title/81498379
Strays,"Comedy, Adventure","When Reggie is abandoned on the mean city streets by his lowlife owner, Doug, Reggie is certain that his beloved owner would never leave him on purpose. But once Reggie falls in with Bug, a fast-talking, foul-mouthed stray who loves his freedom and believes that owners are for suckers, Reggie finally realizes he was in a toxic relationship and begins to see Doug for the heartless sleazeball that he is.",7.531,17-08-2023,419.527,"talking dog, magic mushroom, crude humor, male masturbation, duringcreditsstinger, animal liberation, self-liberation, abandonment, abandoned puppy, toxic relationship, talking animal",/1HzL603WOer58xtnrRYdSIL5K04.jpg,https://www.uphe.com/movies/strays-2023
"Scooby-Doo! And Krypto, Too!","Animation, Family, Mystery, Fantasy, Comedy","When the Justice League goes missing and villains overrun Metropolis, there's only one team that can solve this mystery: Scooby-Doo and the gang! But wait, there's a new dog in town – Krypto – Superman's Superdog with Super Powers. Mystery Inc. will need all the help it can get when phantoms menace the Justice League's headquarters.",7.778,26-09-2023,411.09,"superhero, villain, talking dog, team up",/8UjwvrxTpsD46cDQklDdU14RQYB.jpg,https://www.warnerbros.com/movies/scooby-doo-krypto-too
The Super Mario Bros. Movie,"Animation, Family, Adventure, Fantasy, Comedy","While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",7.775,05-04-2023,410.411,"gorilla, plumber, anthropomorphism, magic mushroom, based on video game, toad, aftercreditsstinger, duringcreditsstinger, damsel in distress, piano, brother brother relationship, illumination, evil king, cliché",/9n2tJBplPbgR2ca05hS5CKXwP2c.jpg,https://www.thesupermariobros.movie
Mission: Impossible - Dead Reckoning Part One,"Action, Thriller","Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",7.74,08-07-2023,401.083,"race against time, mission, rome, italy, chase, secret mission, secret agent, sequel, intelligence agency, rogue agent, based on tv series, secret government agency, serious, northern norway, exhilarated",/TFTfzrkX8L7bAKUcch6qLmjpLu.jpg,https://www.missionimpossible.com
The Nasty Cowgirl of an Older Sister Wearing Pantyhose – Minami Aizawa,Drama,"Strongest collaboration of absolute beauty ""Minami Aizawa"" and pantyhose cowgirl! ! I love watching men from above looking like they're having a good time! ! 1, slutty teacher's detention cowgirl sex 2, position reversal boss pile driving cowgirl 3, reverse slut in the library ● pantyhose beautiful leg job 4, pantyhose specialized delivery health straddle FUCK and two great [privilege videos]! ! 1 pantyhose fetish angle 2 ASMR pantyhose tone! Pantyhose x Slut Dirty Words x Cowgirl Fusion Work!",10,13-02-2021,383.603,pantyhose,/ilRkxMAKqRyXYTZGbrOLpd2nhWz.jpg,
My Fault,"Drama, Romance","Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",8.106,08-06-2023,361.025,"stepbrother, female protagonist, stepsister, rise, enemies to lovers, passion and romance, car",/lntyt4OVDbcxA1l7LtwITbrD3FI.jpg,
The Equalizer 3,"Action, Thriller, Crime","Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",6.914,30-08-2023,359.237,"italy, vigilante justice, italian mafia",/h0nmmdFAdBjQttN8Y0q825MWzZp.jpg,https://www.equalizer.movie
The Little Mermaid,"Adventure, Family, Fantasy, Romance","The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",6.536,18-05-2023,353.543,"mermaid, musical, based on fairy tale, live action remake, amused",/7VEUOEfRzzrQfWddlIyLUKvh6Nf.jpg,https://movies.disney.com/the-little-mermaid-2023
Bunker,"Horror, Thriller, War","Trapped in a bunker during World War I, a group of soldiers are faced with an ungodly presence that slowly turns them against each other.",7.583,14-09-2023,339.829,,/xfa49EDtKvs2yC9l4xroKtKlrcc.jpg,
Heart of Stone,"Thriller, Action",An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable — and dangerous — weapon.,6.901,09-08-2023,336.927,"mission, saving the world, undercover agent, undercover, espionage, spy, secret agent, mi6, british spy, female spy",/xVMtv55caCEvBaV83DofmuZybmI.jpg,https://www.netflix.com/title/81416533
A J-Cup Titty Female Teacher Who Got Gangbanged During Her Duties as Advisor to the Swim Team Lala Anzai,Drama,"'Anzai', who became a new teacher, helps Kitagawa, who became a childhood friend and a fellow teacher, to be cut off by a student, and is raped by a resentment from a defect. The act escalated, and she was nominated as an adviser to the swimming club, and she was made to wear a swimsuit by the bad guys and played as a sex toy. The bad guys didn't get tired of showing Kitagawa a leap of relief, and the female teachers, including him who had an erection on the growing breast, were circled. Woman with God's milk is finally in full swing!",8,04-04-2020,330.905,"high school teacher, gangbang, female teacher",/rCizxYDehZWZxtuERQXmweoXu3o.jpg,
Darkland: The Return,"Action, Thriller","Seven years ago, Zaid went to war against the Copenhagen underworld to avenge his dead brother. His identity as a respected doctor of cardiology and life as a family man is but a fading dream, and in prison Zaid suffers the loss of his son Noah, whom he barely knows. When a police agent approaches Zaid and offers him a deal to be released in exchange for infiltrating the Copenhagen underworld, he sees his chance to reclaim the remnants of the family life he left behind. But everything has a price, and Zaid realizes that he has now seriously endangered his son's life. After all, once you become part of the underworld, is there any way out?",6.766,13-04-2023,324.959,vigilante,/e8FyMnifoN5BMuRFE97fS1lJZ6S.jpg,
Viking: Bloodlust,"Action, History",A band of vikings are on the run from a blood thirsty group of Berserkers who want to fight to the death.,6.933,21-04-2023,324.115,viking,/vMJb1D40wQNbTveNVFpNbo12faA.jpg,
"Ruby Gillman, Teenage Kraken","Animation, Family, Fantasy, Comedy","Ruby Gillman, a sweet and awkward high school student, discovers she's a direct descendant of the warrior kraken queens. The kraken are sworn to protect the oceans of the world against the vain, power-hungry mermaids. Destined to inherit the throne from her commanding grandmother, Ruby must use her newfound powers to protect those she loves most.",7.474,28-06-2023,321.777,"high school, ocean, boat, transformation, fisherman, mermaid, coming of age, prom, female protagonist, kraken, female villain, coastal town, fitting in, trident, 3d animation, teenager, animation",/f7UI3dYpr7ZUHGo0iIr1Qvy1VPe.jpg,https://www.teenagekrakenmovie.com
Guardians of the Galaxy Vol. 3,"Science Fiction, Adventure, Action","Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",8.023,03-05-2023,318.516,"hero, superhero, mad scientist, based on comic, sequel, superhero team, space opera, raccoon, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), cosmic, outer space, chosen family",/5YZbUmjbMa3ClvSW1Wj3D6XGolb.jpg,https://www.marvel.com/movies/guardians-of-the-galaxy-volume-3
Sniper: G.R.I.T. - Global Response & Intelligence Team,"Action, Thriller","When an international terrorist cult threatens global political stability and kidnaps a fellow agent, Ace Sniper Brandon Beckett and the newly-formed Global Response & Intelligence Team – or G.R.I.T. – led by Colonel Stone must travel across the world to Malta, infiltrate the cult, and take out its leader to free Lady Death and stop the global threat.",7.077,26-09-2023,317.064,,/1DBo2V4KyBWXuagt4JOR2jZJMHB.jpg,https://www.sonypictures.com/movies/snipergrit
Sakra,"Action, Drama","Qiao Feng is the respected leader of a roving band of martial artists. After he is wrongfully accused of murder and subsequently exiled, Qiao Feng goes on the run in search of answers about his own mysterious origin story—and the unknown enemies working to destroy him from the shadows.",6.624,16-01-2023,312.183,"martial arts, based on novel or book, costume drama",/rV56FkcHkzHJcBOOqoCeSDnoBff.jpg,
A Million Miles Away,"Drama, History","The life of engineer and former NASA astronaut José M. Hernández, the first migrant farmworker to go to space.",8.011,08-09-2023,311.77,"underdog, based on novel or book, nasa, based on true story, astronaut, mexican american, migrant worker",/23HvwdsAQeL0MxN9fm3d8m1NaPw.jpg,https://www.amazon.com/dp/B0CC85MZD6
The Flood,"Action, Mystery, Thriller, Horror",A horde of giant hungry alligators is unleashed on a group of in-transit prisoners and their guards after a massive hurricane floods Louisiana.,6.836,14-07-2023,307.949,"animal attack, alligator, louisiana, flood, low budget",/1O9Rio3RCT4eZVJH3znI8VbGexq.jpg,
The Last Voyage of the Demeter,"Thriller, Horror",The crew of the merchant ship Demeter attempts to survive the ocean voyage from Carpathia to London as they are stalked each night by a merciless presence onboard the ship.,7.318,09-08-2023,307.895,"ship, based on novel or book, sacrifice, vampire, supernatural, gothic horror, dracula, 1890s, excited",/qEm4FrkGh7kGoEiBOyGYNielYVc.jpg,https://www.demetermovie.com
Insidious: The Red Door,"Horror, Mystery, Thriller","To put their demons to rest once and for all, Josh Lambert and a college-aged Dalton Lambert must go deeper into The Further than ever before, facing their family's dark past and a host of new and more horrifying terrors that lurk behind the red door.",6.85,05-07-2023,305.896,"sequel, demon, franchise, insidious, supernatural horror, evil spirits, fifth part",/i2GVEvltEu3BXn5crBSxgKuTaca.jpg,https://www.insidious.movie
Epic Tails,"Animation, Adventure, Fantasy, Family","An adventurous mouse sets off to battle dangerous creatures in Ancient Greece, including Poseidon.",6.868,25-01-2023,304.93,"mouse, poseidon, ancient greece",/qZOuoBoKCDLSm1EvYz2eBub8Cto.jpg,
No Hard Feelings,"Comedy, Romance","On the brink of losing her childhood home, Maddie discovers an intriguing job listing: wealthy helicopter parents looking for someone to “date” their introverted 19-year-old son, Percy, before he leaves for college. To her surprise, Maddie soon discovers the awkward Percy is no sure thing.",7.166,15-06-2023,298.801,"friendship, older woman seduces younger guy, romantic comedy, summer, new york state, teen comedy, hometown, bankruptcy, craigslist, animal shelter, socially awkward, uber, late coming of age, nude swimming, graduation party, helicopter parenting",/rRcNmiH55Tz0ugUsDUGmj8Bsa4V.jpg,https://www.nohardfeelingsmovie.com
My Big Fat Greek Wedding 3,"Romance, Comedy","Following the death of their patriarch Gus, the Portokalos family travels to Greece for a family reunion, and to deliver Gus' journal to his old friends.",6.5,07-09-2023,295.179,"wedding, greek-american restaurant, traditional family",/eiIvFiqOClwNX3nUmRlEmNarFCk.jpg,
One Piece Film Red,"Animation, Adventure, Action, Fantasy","Uta — the most beloved singer in the world. Her voice, which she sings with while concealing her true identity, has been described as “otherworldly.” She will appear in public for the first time at a live concert. As the venue fills with all kinds of Uta fans — excited pirates, the Navy watching closely, and the Straw Hats led by Luffy who simply came to enjoy her sonorous performance — the voice that the whole world has been waiting for is about to resound.",7.346,06-08-2022,293.869,"pirate, fighting, super power, aftercreditsstinger, anime",/A1EWX46DxpEuiha7K0XY6vhWbdZ.jpg,https://www.onepiece-filmred.com
Me Vuelves Loca,Comedy,"Carolina has a perfect life: she lives in a luxurious house, works in a fashion magazine and is married to a successful publicist. One day everything goes to waste: she discovers that she is sterile, the same day that her husband leaves her for her best friend, who, in addition, is pregnant with him. After the impact of this news, Carolina has a crisis, drinks too much, trips and falls from the second floor of her house, a fact that is interpreted as a suicide attempt.Carolina is interned against her will, in the exclusive psychiatric center Eden. In that place she will meet a group of ""madmen"" who will help her heal and glimpse that her previous life was not so perfect. He also discovers that perhaps the craziest are those outside the psychiatric hospital.",8.554,07-09-2023,287.187,"dramatic, romantic",/jR12T1oZbLCsZJwp0SKVHqSgc8X.jpg,
Sons of Summer,"Action, Mystery, Thriller","To mark the anniversary of his father's death, Sean takes his friends on a road trip to his surfer dad's favorite beach. But Sean's drug-dealing friend forces him to do one last favor – steal a heroin shipment from a local mobster.",7,28-07-2023,280.376,,/3MlOdGahzlASqDWCRl6x474Fphk.jpg,https://www.lionsgate.com/movies/sons-of-summer
Special Delivery,"Action, Crime",A black-market cabbie drives criminals at breakneck speeds until she is left in charge of a fugitive's son.,7.2,12-01-2022,277.46,,/3mYCjwll5RG342Dz1f8HcnT8tV.jpg,
